player_name,team,position,sleeper_id,status,note
Josh Allen,BUF,QB,4881,Healthy,
Lamar Jackson,BAL,QB,4866,Healthy,
Aaron Rodgers,NYJ,QB,421,Questionable,Ankle injury
Patrick Mahomes,KC,QB,4046,Healthy,
Joe Burrow,CIN,QB,6794,Healthy,Cleared from wrist injury
Derrick Henry,BAL,RB,2216,Healthy,
Christian McCaffrey,SF,RB,2133,Questionable,Calf tightness
Saquon Barkley,PHI,RB,4663,Healthy,
Josh Jacobs,GB,RB,4217,Healthy,
Jonathan Taylor,IND,RB,6770,Healthy,
Tyreek Hill,MIA,WR,1479,Healthy,
CeeDee Lamb,DAL,WR,6786,Healthy,
Ja'Marr Chase,CIN,WR,7611,Healthy,
Justin Jefferson,MIN,WR,6797,Healthy,
Davante Adams,LV,WR,2319,Questionable,Hamstring tightness
Travis Kelce,KC,TE,1466,Healthy,
T.J. Hockenson,MIN,TE,5850,Questionable,Knee recovery
Mark Andrews,BAL,TE,4381,Healthy,
George Kittle,SF,TE,2197,Healthy,
Kyle Pitts,ATL,TE,7671,Healthy,
